Character,Frequency,Word
ELAINE,9,turned
ELAINE,30,hands
ELAINE,12,he'll
ELAINE,122,mr
ELAINE,16,ellen
ELAINE,7,honest
ELAINE,8,accident
ELAINE,26,says
ELAINE,254,that's
ELAINE,14,likes
ELAINE,7,publishing
ELAINE,7,may
ELAINE,15,already
ELAINE,10,message
ELAINE,7,closes
ELAINE,6,cont'd
ELAINE,10,mattress
ELAINE,7,damn
ELAINE,6,de
ELAINE,23,walks
ELAINE,17,wasn't
ELAINE,6,nodding
ELAINE,10,jimmy
ELAINE,20,between
ELAINE,8,rest
ELAINE,8,leans
ELAINE,13,seeing
ELAINE,6,fair
ELAINE,26,tomorrow
ELAINE,10,interesting
ELAINE,74,even
ELAINE,9,situation
ELAINE,7,wendy
ELAINE,7,doin'
ELAINE,719,no
ELAINE,13,glasses
ELAINE,9,list
ELAINE,10,standing
ELAINE,105,when
ELAINE,6,ideas
ELAINE,9,clubs
ELAINE,8,soon
ELAINE,15,ahh
ELAINE,10,3
ELAINE,8,maker
ELAINE,47,kind
ELAINE,15,yourself
ELAINE,35,pretty
ELAINE,6,neck
ELAINE,229,going
ELAINE,6,wife
ELAINE,335,out
ELAINE,27,gave
ELAINE,22,heard
ELAINE,21,exactly
ELAINE,57,ya
ELAINE,7,months
ELAINE,24,life
ELAINE,17,read
ELAINE,21,somebody
ELAINE,32,won't
ELAINE,37,their
ELAINE,9,busy
ELAINE,8,changed
ELAINE,16,leaves
ELAINE,7,afternoon
ELAINE,18,puts
ELAINE,7,plans
ELAINE,10,an'
ELAINE,14,hes
ELAINE,9,become
ELAINE,152,who
ELAINE,8,chicken
ELAINE,7,play
ELAINE,17,high
ELAINE,9,hospital
ELAINE,9,meal
ELAINE,7,joy
ELAINE,6,peterman's
ELAINE,21,run
ELAINE,8,noise
ELAINE,7,smart
ELAINE,7,afraid
ELAINE,35,took
ELAINE,10,happens
ELAINE,8,taste
ELAINE,6,doofus
ELAINE,12,return
ELAINE,7,slept
ELAINE,7,dancing
ELAINE,97,elaine
ELAINE,6,elaine's
ELAINE,6,rings
ELAINE,58,ever
ELAINE,60,peterman
ELAINE,7,sat
ELAINE,6,lying
ELAINE,10,kramer's
ELAINE,8,attention
ELAINE,84,ah
ELAINE,9,peggy
ELAINE,7,spare
ELAINE,84,we're
ELAINE,6,kitchen
ELAINE,22,days
ELAINE,47,stop
ELAINE,21,drink
ELAINE,7,lets
ELAINE,30,after
ELAINE,6,negative
ELAINE,11,writing
ELAINE,21,wearing
ELAINE,68,told
ELAINE,9,floor
ELAINE,6,fall
ELAINE,9,doorman
ELAINE,6,stinks
ELAINE,13,knows
ELAINE,6,bringing
ELAINE,20,pause
ELAINE,7,irritated
ELAINE,11,sent
ELAINE,6,asking
ELAINE,6,alarm
ELAINE,15,moving
ELAINE,7,forehead
ELAINE,7,lookit
ELAINE,6,ya'
ELAINE,9,eye
ELAINE,7,train
ELAINE,6,smells
ELAINE,9,kennedy
ELAINE,20,wear
ELAINE,12,line
