SEID,Jerry Sentiment,Elaine Sentiment,George Sentiment,Kramer Sentiment,Sentiment,Views,Pearsons Elaine,Pearsons George,Pearsons Jerry,Pearsons Kramer,Pearson's All
S09E08,0.02145689,-0.000925717,0.030254863,-0.04451431,0.001567932,34,,,,,
S09E09,0.045984364,0.041096781,0.045579624,0.053180451,0.046460305,30.5,,,,,
S09E10,0.043592667,-0.007569912,-0.006059103,0.055427348,0.02134775,30.8,,,,,
S09E11,0.00485845,-0.00466227,0.033634441,0.059734824,0.023391361,32.9,,,,,
S09E12,0.070839238,0.069278214,0.068366402,0.0618685,0.067588089,33.5,,,,,
S09E13,0.014972397,0.1365561,0.039061972,0.079416462,0.067501733,33.2,,,,,
S09E14,-0.012185652,0.018674932,0.025516617,0.084219246,0.029056286,31.6,,,,,
S09E15,0.003774957,0.068961233,0.032540538,0.076214684,0.045372853,30.5,,,,,
S09E16,0.051209133,0.0293857,0.064614888,0.037263007,0.045618182,30.9,,,,,
S09E17,-0.016405075,0.000602127,-0.046173541,0.096797122,0.008705158,29.6,,,,,
S09E18,0.046342931,0.014744483,0.123900446,0.020765738,0.0514384,30.7,,,,,
S09E19,0.081431792,0.021797731,0.060984448,0.018312429,0.0456316,33.3,,,,,
S09E20,-0.017188889,0.029246238,0.0409136,0.080605633,0.033394146,38.8,,,,,
S09E23,0.054929616,0.06382963,0.016483476,0.108419486,0.060915552,76.3,,,,,
